id,titre,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,description,caracteristiques,source,date_publication,has_sdb_info,latitude,longitude,dist_centre_km,dist_aeroport_km,dist_plage_km,nb_ecoles_1km,nb_mosquees_1km,nb_commerces_1km,nb_hopitaux_1km,nb_total_pois_1km,has_garage,has_titre_foncier,has_camera,nb_balcons,taille_rue,desc_len,desc_word_count,has_piscine,has_clim,has_meuble,is_luxe,is_renove,has_arabic,nb_pieces_total,surface_par_piece,log_surface,age_annonce_jours,quartier_target_enc,quartier_freq
1076,منزل احذ اللنكات حمام الياسمين ,1800000.0,150.0,3.0,2.0,2.0,Arafat,دار للبيع اعل شارع اكبير احذ حمام الياسمين اللنكات اثلت ابيوت و جلسه و كوزين و دشات ,Titre foncier | 1 balcon(s) | Taille rue: 15.00 | Proche de: حمام الياسمين | Garage,voursa.com,2025-09-13,1,18.045951,-15.963284,4.686578950055194,6.0952391880312575,6.143957671522069,14,21,26,9,70,1,1,0,1,15.0,84,17,0,0,0,0,0,1,5.0,30.0,5.017279836814924,170,1676270.4918032787,0.21162185602775369
875,فرصة دار مكونه من طابقين ارضي و واحد فوقوني كارفور توري,1800000.0,300.0,6.0,3.0,2.0,Tevragh Zeina,فرصة دار ، الطابق الأرضي يحتاج ترميم بسبب الملح و الطابق الي فوقه صالح للسكن مباشرة، يتكون من أربع غرف و حمامين و مطبخ، كارو كامل، في الركن، بضعة أمتار من كارفور توري فرصه حقيقية,1 balcon(s) | Taille rue: N/A | Proche de: كرفور توري | Garage,voursa.com,2025-07-06,1,18.111144,-16.00384,4.09143426363279,6.102914035530419,6.151266855980939,3,3,17,2,25,1,0,0,1,15.0,178,35,0,0,0,0,0,1,9.0,33.333333333333336,5.707110264748875,239,8209772.117962467,0.32350390286209885
453,دار فتيارت فاتح فبرك,900000.0,216.0,1.0,1.0,2.0,Teyarett,"سعر 9ملايين مدخله 50الف حد شاري ول عندو طلب تلفنل اعل واتساب فقط
26678975",Titre foncier | type de propriété: Autre | 1 balcon(s) | Taille rue: 15.00 | Proche de: بقاله الرحمه,voursa.com,2026-01-20,1,18.159145,-15.927189,9.518373545590451,7.058795108333672,14.923344328459411,5,8,12,2,27,0,1,0,1,15.0,73,14,0,0,0,0,0,1,2.0,108.0,5.37989735354046,41,3330407.407407407,0.2341717259323504
987,دار للبيـــــــــــــــــــــع أفي عين الطلح,1600000.0,150.0,3.0,1.0,2.0,Teyarett,السلام عليكم ذاك دار للبيـــــــــــــــــــــع أفي عين الطلح مساحتو 150 فاتح اعل شارع إصغير مبيوعه ب 16 مليون حد مهتم يتواصل معاي [TÉLÉPHONE SUPPRIMÉ],,voursa.com,2025-12-09,1,18.159145,-15.927189,9.518373545590451,7.058795108333672,14.923344328459411,5,8,12,2,27,0,0,0,0,15.0,151,24,0,0,0,0,0,1,4.0,37.5,5.017279836814924,83,3330407.407407407,0.2341717259323504
252,ملح سكتير 2,800000.0,180.0,3.0,2.0,2.0,Toujounine,"السلام عليكم 
فرصة للبيـــــــــــــــــــــع ملح سكتير 2
فاتح على شارع 25 وفكرن شارع 25
فيها ثلاث باتيك 
من داخل فيها ثلاث بيوت دوشات كوزين فرندا 
",Titre foncier | 1 balcon(s) | Taille rue: 25.00 | Proche de: ملح سكتيراثنين,voursa.com,2025-04-18,1,18.072432,-15.9099,7.059419471119127,4.940767978356011,11.749163714068937,6,5,5,6,22,0,1,0,1,25.0,148,25,0,0,0,0,0,1,5.0,36.0,5.198497031265826,318,1571086.956521739,0.0997398091934085
381,منزل أرضي يتكون من طابقين للبيع,5000000.0,516.0,9.0,3.0,4.0,Teyarett,منزل في عين الطلح  يتكون من طابقين فاتح اعل كدرونه وفكرن صالح  للإستثمار,Garage,voursa.com,2026-02-05,1,18.159145,-15.927189,9.518373545590451,7.058795108333672,14.923344328459411,5,8,12,2,27,1,0,0,0,15.0,72,13,0,0,0,0,0,1,12.0,43.0,6.248042874508429,25,3330407.407407407,0.2341717259323504
1251,دار للبيـــــــــــــــــــــع أفي  سو كجيم عين الطلح ,2300000.0,180.0,3.0,2.0,2.0,Teyarett,"دار للبيع في سوكجيم عين الطلح 
مساحتها 180 على شارعين اكبار 
ب 23 مليون ابريمير اشوا حد مهتم يتواصل معاي واتساب 27273277حد العقار اللبيع يتواصل معاي ",1 balcon(s) | Taille rue: 15.00 | Proche de: دار للبيـــــــــــــــــــــع أفي سوكجيم ,voursa.com,2025-09-24,1,18.159145,-15.927189,9.518373545590451,7.058795108333672,14.923344328459411,5,8,12,2,27,0,0,0,1,15.0,149,26,0,0,0,0,0,1,5.0,36.0,5.198497031265826,159,3330407.407407407,0.2341717259323504
84,منزل للبيع ,6500000.0,600.0,4.0,2.0,2.0,Tevragh Zeina,"#للبيع❤ 

فرصة لا تعوّض!

منزل للبيع بمساحة 600 متر مربع، في موقع مميز قرب مسجد الشيخ الرضى.
الوثائق تيتر فونصي جاهزة، 
#السعر 
 بـ 65 مليون فقط!



للتواصل والاستفسار: [ ‏ عبر واتساب. https://wa.me/22243414552
",2 balcon(s) | Taille rue: 20.00 | Proche de: مسجد الشيخ رضى ,voursa.com,2025-04-24,1,18.111144,-16.00384,4.09143426363279,6.102914035530419,6.151266855980939,3,3,17,2,25,0,0,0,2,20.0,211,33,0,0,0,0,0,1,6.0,100.0,6.398594934535208,312,8209772.117962467,0.32350390286209885
193,شانتيه ,1200000.0,200.0,1.0,1.0,2.0,Arafat,"السلام عليكم 
الموقع استراتيجي واستثماري 
نيمرو للبيـــــــــــــــــــــع كد مفوضية شرم الشيخ 
فاتح على كدروه وفكرن 
فيه ابوتيك 
صالون دوش كوزين لاحكين صناج فينال 
ثاني ماركه فندصيوه 
السعر 12 مليون ",type de propriété: Autre | 1 balcon(s) | Taille rue: 40.00 | Proche de: مفوضية شرم شيخ ,voursa.com,2026-01-28,1,18.045951,-15.963284,4.686578950055194,6.0952391880312575,6.143957671522069,14,21,26,9,70,0,0,0,1,40.0,200,29,0,0,0,0,0,1,2.0,100.0,5.303304908059076,33,1676270.4918032787,0.21162185602775369
175,دار فسيت ابلاج bmciفاتح فبرك وفكرن,3800000.0,400.0,7.0,1.0,2.0,Sebkha,سعر 38 مليون حد شاري تلفنل اعل واتساب وتوف [TÉLÉPHONE SUPPRIMÉ],,voursa.com,2026-02-16,1,18.071167,-16.002607,3.385383343872694,6.571101748092418,2.3503931174060733,7,10,53,6,76,0,0,0,0,15.0,63,11,0,0,0,0,0,1,8.0,50.0,5.993961427306569,14,3780000.0,0.008673026886383347
44,منزل للبيـــــــــــــــــــــع عرفات ,1300000.0,150.0,3.0,2.0,2.0,Arafat,"السلام عليكم 
دار مظبوطة للبيــــــــــــــــــــع   عرفات كد مركز تكوين العلماء
فاتح على بركين
 بينه مع كدروه ثلاث نمروات 
فيه ثلاث بيوت وجلسة كوزين ودوشات اكراج منقوشة مكروية
 المساحة150م٢ 
السعر 13مليون",Titre foncier | 1 balcon(s) | Taille rue: 15.00 | Proche de: مركز تكوين العلماء  | Garage,voursa.com,2025-08-31,1,18.045951,-15.963284,4.686578950055194,6.0952391880312575,6.143957671522069,14,21,26,9,70,1,1,0,1,15.0,205,30,0,0,0,0,0,1,5.0,30.0,5.017279836814924,183,1676270.4918032787,0.21162185602775369
791,سمعه فملح سكتير 5,980000.0,150.0,5.0,2.0,2.0,Toujounine,سمعه فرصة  فملح سكتير 5 اكريب من شارع ديمي  اكريب من ذاك استاسيوه ال اعل ايدكم العربية,Titre foncier | 1 balcon(s) | Taille rue: 8.00 | Proche de: شارع ديمي  | Garage,voursa.com,2025-09-22,1,18.072432,-15.9099,7.059419471119127,4.940767978356011,11.749163714068937,6,5,5,6,22,1,1,0,1,8.0,86,17,0,0,0,0,0,1,7.0,21.428571428571427,5.017279836814924,161,1571086.956521739,0.0997398091934085
655,الفوج,2100000.0,180.0,9.0,4.0,2.0,Arafat,أبرمتماه عل كدروه فيه من تحت دار من الفوق أستيديوهن مستقلين ومن تحت مكزين مدخل 200ألف,1 balcon(s) | Taille rue: 40.00 | Proche de: دسق,voursa.com,2025-09-21,1,18.045951,-15.963284,4.686578950055194,6.0952391880312575,6.143957671522069,14,21,26,9,70,0,0,0,1,40.0,85,16,0,0,0,0,0,1,13.0,13.846153846153847,5.198497031265826,162,1676270.4918032787,0.21162185602775369
65,دار فسوكوجيم عين الطلح,2200000.0,150.0,3.0,1.0,2.0,Teyarett,دار اجديده فسوكوجيم عين الطلح,Garage,voursa.com,2026-02-24,1,18.159145,-15.927189,9.518373545590451,7.058795108333672,14.923344328459411,5,8,12,2,27,1,0,0,0,15.0,29,5,0,0,0,0,0,1,4.0,37.5,5.017279836814924,6,3330407.407407407,0.2341717259323504
834,فرصة 4 آبرتمهات للبيـــــــــع ف H8 إحذ المدرسه ,4600000.0,216.0,8.0,8.0,2.0,Teyarett,4 آبرتمهات ف H8 إحذ المدرسه مساحتهم 216م٢ إعلى شارع 10 مدخلين 400الف ب 46 ,2 balcon(s) | Taille rue: 10.00 | Proche de: المدرسه الجمهورية  | Garage,voursa.com,2025-07-14,1,18.159145,-15.927189,9.518373545590451,7.058795108333672,14.923344328459411,5,8,12,2,27,1,0,0,2,10.0,74,15,0,0,0,0,0,1,16.0,13.5,5.37989735354046,231,3330407.407407407,0.2341717259323504
877,فرصة نادرة ديبلكس فاخر فمنطقة snde ,5900000.0,250.0,8.0,5.0,2.0,Tevragh Zeina,"🔴🔴فرصة عقارية نادرة دوبلكس قرب snde 
على مساحة 250m2 
علي شارع واسع وحي راقي 
😍😍المواصفات :
صالون  كبير وجلسة وبيت ودوش التحت ولكدام كوزينين واحد داخلي وواحد خارجي و بيت عامل ودوش وكراج اوتوماتيك يرفد سيارتين
والفوك فيھا 4 بيوت ركاد و3 دوشات داخليين طبعا بيت 
الركاد الرئيسي اكبر حت من لخرين
 السعر  59 مليون ",Titre foncier | 1 balcon(s) | Taille rue: 20.00 | Proche de: SND | Garage,voursa.com,2025-09-15,1,18.111144,-16.00384,4.09143426363279,6.102914035530419,6.151266855980939,3,3,17,2,25,1,1,0,1,20.0,309,55,0,0,0,0,0,1,13.0,19.23076923076923,5.5254529391317835,168,8209772.117962467,0.32350390286209885
1428,ديبلكس اجديد  للبيــــــــــــــــــــــع,5000000.0,150.0,6.0,1.0,2.0,Teyarett,*ديبلكس اجديد  للبيــــــــــــــــــــــع في البوادي قرب شقق الصحاري  فاتح عل شارع اكبير مساحة  150 م² مبيوع 50 مليو,,voursa.com,2025-06-06,1,18.159145,-15.927189,9.518373545590451,7.058795108333672,14.923344328459411,5,8,12,2,27,0,0,0,0,15.0,117,18,0,0,0,0,0,1,7.0,21.428571428571427,5.017279836814924,269,3330407.407407407,0.2341717259323504
347,منزل نظيفة للبيع ملح سكتير 2,1500000.0,180.0,3.0,2.0,2.0,Toujounine,"السلام عليكم 
دار نظيفة للبيـــــــــــــــــــــع 
فملح سكتير 2
 كريب من كدروه فاتح على رامبلة 
فيها ثلاث بيوت وجلسة كوزين ودوشات اكراج منقوشة مكروية 
المساحة 180
السعر 15 مليون ",Titre foncier | 1 balcon(s) | Taille rue: 40.00 | Proche de: ملح سكتير 2,voursa.com,2025-05-09,1,18.072432,-15.9099,7.059419471119127,4.940767978356011,11.749163714068937,6,5,5,6,22,0,1,0,1,40.0,179,28,0,0,0,0,0,1,5.0,36.0,5.198497031265826,297,1571086.956521739,0.0997398091934085
244,فرصة عمار للبيع  ,1000000.0,244.0,6.0,10.0,2.0,Tevragh Zeina,"فرصة  عماره للبيع المقر  كابيتال  قرب مسيد شرفاء
فيه 10برتماهة
و7مكزينات مدخل1مليون و200الف شهري 
مساحة244m² سعر 100مليون ",Titre foncier | 10 balcon(s) | Taille rue: 20.00 | Proche de: عمار كابيتال للبيع ,voursa.com,2025-10-03,1,18.111144,-16.00384,4.09143426363279,6.102914035530419,6.151266855980939,3,3,17,2,25,0,1,0,10,20.0,122,17,0,0,0,0,0,1,16.0,15.25,5.501258210544727,150,8209772.117962467,0.32350390286209885
580,استوديو إف نص نيمرو للبيع,1200000.0,108.0,1.0,1.0,2.0,Teyarett,استوديو إف نص نيمرو للبيع اعل شارع 20 افحي سكني زين فيه بيت اركاد وجلسه ودوش وكزين فيه مكزين فاتح اعل شارع اكبير ايكد  حد بكريه ب 40 وهو مكري ظرك ب 65 ويكد يبني حد فوكو ,Titre foncier | type de propriété: Studio | Taille rue: 20.00 | Proche de: كدرونه سكوكو | Caméra de sécurité,voursa.com,2025-12-07,1,18.159145,-15.927189,9.518373545590451,7.058795108333672,14.923344328459411,5,8,12,2,27,0,1,1,0,20.0,169,37,0,0,0,0,0,1,2.0,54.0,4.6913478822291435,85,3330407.407407407,0.2341717259323504
990,منزل للبيــــع بالقرب من شارع البوليس,700000.0,150.0,3.0,1.0,2.0,Arafat,"دار للبيــــع فكرفور بالقرب من شارع البوليس 
المساحة 150م٢ 
الشارع 10م
الثمن 7 مليون",,voursa.com,2025-12-09,1,18.045951,-15.963284,4.686578950055194,6.0952391880312575,6.143957671522069,14,21,26,9,70,0,0,0,0,15.0,84,14,0,0,0,0,0,1,4.0,37.5,5.017279836814924,83,1676270.4918032787,0.21162185602775369
730,دار فملح,530000.0,150.0,1.0,4.0,1.0,Arafat,"سلام عليكم 
عندنا ذيك دار للبيع اف ملح سكتير 3
فاتح اعل بارك 
فيه ثلاث ابيوت أو جلسة أو مرافق 
خاصها النقش أو كرو 
السعر 5 مليون و 300 قابلة للنقاش تلفنل اعل واتساب فقط [TÉLÉPHONE SUPPRIMÉ]",,voursa.com,2026-01-01,1,18.045951,-15.963284,4.686578950055194,6.0952391880312575,6.143957671522069,14,21,26,9,70,0,0,0,0,15.0,189,37,0,0,0,0,0,1,5.0,30.0,5.017279836814924,60,1676270.4918032787,0.21162185602775369
1213,شانتيه فملح سكتير 1,600000.0,144.0,3.0,1.0,2.0,Toujounine,شانتية فملح سكتير 1,Garage,voursa.com,2025-11-10,1,18.072432,-15.9099,7.059419471119127,4.940767978356011,11.749163714068937,6,5,5,6,22,1,0,0,0,15.0,19,4,0,0,0,0,0,1,4.0,36.0,4.976733742420574,112,1571086.956521739,0.0997398091934085
567,منزل جديدة للبيع المطار القديم ,3000000.0,200.0,4.0,2.0,2.0,Dar Naim,"السلام عليكم 
دار جديدة في المطار القديم 
فاتح على شارع 12
فيه صالون بيت اركاد بتين جلسة كوزين ودوشات اكراج مكروية منقوشة مكروية 
المساحة200م٢ 
السعر 30مليون",Titre foncier | 1 balcon(s) | Taille rue: 12.00 | Proche de: أستاسيون زيتي | Garage,voursa.com,2025-06-17,1,18.126633,-15.91746,7.536443818595148,4.449010179798461,13.255497687638705,2,8,2,1,13,1,1,0,1,12.0,157,26,0,0,0,0,0,1,6.0,33.333333333333336,5.303304908059076,258,2489878.048780488,0.07111882046834345
424,ابرتماهين وبتيك ف الجامعه لاول لللبع ,4800000.0,200.0,1.0,1.0,2.0,Tevragh Zeina,اللسلام عليكم هذ ابرتماهين وبتيك ملني ف 200م# مدخلين اثلت مائة واخمس تلاف قديمة. مبيوعين ب 48مليون للإستفسار اكثر.اتصلوا على الرقم التالي 49546950,1 balcon(s) | Taille rue: 20.00 | Proche de: ألجامعه لاول ,voursa.com,2025-04-30,1,18.111144,-16.00384,4.09143426363279,6.102914035530419,6.151266855980939,3,3,17,2,25,0,0,0,1,20.0,146,23,0,0,0,0,0,1,2.0,100.0,5.303304908059076,306,8209772.117962467,0.32350390286209885
