titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,source,date_publication,caracteristiques,url
Grand plaza Tevragh Zeina • 9 months ago Share Featured 8 جراند بلازا Grand Plaza Residential Property,,Vente,2500,100.00,32.0,1.0,2.0,,,"Grand plaza Tevragh Zeina • 9 months ago Share Featured 8 جراند بلازا Grand Plaza Residential Property 2,500 MRU",voursa,9 months ago,"landmark: Palais des congrès, land_title: No, balconies: 1, street_size: 80.00",https://voursa.com/EN/categories/real_estate/ads/-جراند-بلازا-grand-plaza-6dc7
نيمرو للبيــع فالمطار سوق السيارات,Land Plot,Vente,2000000,400.00,,,,Dar Naim,Nouakchott Nord,"نيمرو للبيــع فالمطار سوق السيارات 2,000,000 MRU Land Plot 4 hours ago • Dar Naim سيدي محمد 1",voursa,4 hours ago,"landmark: كرفور لابست, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/نيمرو-للبيــع-فالمطار-سوق-السيارات--d899
سكن فبوحديده احذ كدروه حظ سعيد,Other,Vente,550000,150.00,3.0,1.0,1.0,Toujounine,Nouakchott Nord,"سكن فبوحديده احذ كدروه حظ سعيد 550,000 MRU Residential Property 4 hours ago • Toujounine محمد عبد الله ولد سيكه 1",voursa,4 hours ago,"landmark: كدروه حظ سعيد, land_title: No, balconies: 1, street_size: 10.00",https://voursa.com/EN/categories/real_estate/ads/سكن-فبوحديده-احذ-كدروه-حظ-سعيد-f8f8
فلبوادي على شارع كبير 300م,Land Plot,Vente,1400000,300.00,,,,Tevragh Zeina,Nouakchott Ouest,"فلبوادي على شارع كبير 300م 1,400,000 MRU Land Plot 4 hours ago • Tevragh Zeina محمد لمين ولد شيباني 1",voursa,4 hours ago,"landmark: كدروه البوادي, land_title: Yes, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/فلبوادي-على-شارع-كبير-300م--f69d
ديبلكس اكبير للبيع,Duplex,Vente,15000000,930.00,0.0,0.0,0.0,Tevragh Zeina,Nouakchott Ouest,"ديبلكس اكبير للبيع 15,000,000 MRU Residential Property 6 hours ago • Tevragh Zeina Agence LEWEDLI 1",voursa,6 hours ago,"landmark: سكتير 5, land_title: Yes, balconies: 0",https://voursa.com/EN/categories/real_estate/ads/ديبلكس-اكبير-للبيع--33f8
دار فعرفات الداية 11,Apartment,Vente,1300000,180.00,3.0,1.0,2.0,Arafat,Nouakchott Sud,"دار فعرفات الداية 11 1,300,000 MRU Residential Property 8 hours ago • Arafat محمد عبد الله ولد سيكه 1",voursa,8 hours ago,"landmark: بقالة الحوضين, land_title: Yes, balconies: 1, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/دار-فعرفات-الداية-11-8af4
ديبلكس للبيع,Duplex,Vente,3300000,180.00,0.0,0.0,0.0,Teyarett,Nouakchott Nord,"ديبلكس للبيع 3,300,000 MRU Residential Property 8 hours ago • Teyarett Agence LEWEDLI 1",voursa,8 hours ago,"landmark: سوكوجيم عين الطلح, land_title: Yes, balconies: 0, street_size: 8.00",https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيع--f32e
نيمرو للبيــع في سكتير 5 F Nord,Land Plot,Vente,6700000,875.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو للبيــع في سكتير 5 F Nord 6,700,000 MRU Land Plot 9 hours ago • Tevragh Zeina سيدي محمد 1",voursa,9 hours ago,"landmark: سكتير 5, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/نيمرو-للبيــع-في-سكتير-5-f-nord--d8b0
150م² فكرن فشرم الشيخ البوادي نظيفة,Land Plot,Vente,1800000,150.00,,,,Teyarett,Nouakchott Nord,"150م² فكرن فشرم الشيخ البوادي نظيفة 1,800,000 MRU Land Plot 9 hours ago • Teyarett محمدفال 1",voursa,9 hours ago,"landmark: البوادي, land_title: No",https://voursa.com/EN/categories/real_estate/ads/150م-فكرن-فشرم-الشيخ-البوادي-نظيفة-beea
ديبلكس للبيع,Duplex,Vente,8500000,400.00,0.0,0.0,0.0,Teyarett,Nouakchott Nord,"ديبلكس للبيع 8,500,000 MRU Residential Property 9 hours ago • Teyarett Agence LEWEDLI 1",voursa,9 hours ago,"landmark: الصحراوي, land_title: Yes, balconies: 0",https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيع--0acc
دار ف كرفور بالقرب من كدروه طب اطاليا للبيع,Villa,Vente,750000,150.00,3.0,1.0,2.0,Tevragh Zeina,Nouakchott Ouest,"دار ف كرفور بالقرب من كدروه طب اطاليا للبيع 750,000 MRU Residential Property 9 hours ago • Tevragh Zeina محمد 1",voursa,9 hours ago,"landmark: كرفور, land_title: Yes, balconies: 1, street_size: 8.00",https://voursa.com/EN/categories/real_estate/ads/دار-ف-كرفور-بالقرب-من-كدروه-طب-اطاليا-للبيع--4515
ديبلكس للبيــع في الفوز,Land Plot,Vente,5200000,200.00,,,,Teyarett,Nouakchott Nord,"ديبلكس للبيــع في الفوز 5,200,000 MRU Land Plot 9 hours ago • Teyarett سيدي محمد 1",voursa,9 hours ago,"landmark: الفوز البوادي, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيــع-في-الفوز--c66a
منزل,Other,Vente,2500000,12.00,1.0,1.0,1.0,Riyadh,Nouakchott Sud,"منزل 2,500,000 MRU Residential Property 9 hours ago • Riyadh باب اعمر / محمد 4",voursa,9 hours ago,"landmark: مفوضية الرياض, land_title: Yes, balconies: 1",https://voursa.com/EN/categories/real_estate/ads/منزل-7525
