raw_text,price_mru,property_type,time_ago,title_guess,location,source,url,lot_size,street_size,closest_landmark,land_title,detail_property_type,halls,balconies,bathrooms,rooms
"Grand plaza Tevragh Zeina • 9 months ago Share Featured 8 جراند بلازا Grand Plaza Residential Property 2,500 MRU",2500,,9 months ago,Grand plaza Tevragh Zeina • 9 months ago Share Featured 8 جراند بلازا Grand Plaza Residential Property,,voursa,https://voursa.com/EN/categories/real_estate/ads/-جراند-بلازا-grand-plaza-6dc7,100.00,80.00,Palais des congrès,No,,1.0,1.0,2.0,32.0
"نيمرو للبيــع فالمطار سوق السيارات 2,000,000 MRU Land Plot 4 hours ago • Dar Naim سيدي محمد 1",2000000,Land Plot,4 hours ago,نيمرو للبيــع فالمطار سوق السيارات,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-للبيــع-فالمطار-سوق-السيارات--d899,400.00,,كرفور لابست,Yes,,,,,
"سكن فبوحديده احذ كدروه حظ سعيد 550,000 MRU Residential Property 4 hours ago • Toujounine محمد عبد الله ولد سيكه 1",550000,Residential Property,4 hours ago,سكن فبوحديده احذ كدروه حظ سعيد,Toujounine,voursa,https://voursa.com/EN/categories/real_estate/ads/سكن-فبوحديده-احذ-كدروه-حظ-سعيد-f8f8,150.00,10.00,كدروه حظ سعيد,No,Other,1.0,1.0,1.0,3.0
"فلبوادي على شارع كبير 300م 1,400,000 MRU Land Plot 4 hours ago • Tevragh Zeina محمد لمين ولد شيباني 1",1400000,Land Plot,4 hours ago,فلبوادي على شارع كبير 300م,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/فلبوادي-على-شارع-كبير-300م--f69d,300.00,20.00,كدروه البوادي,Yes,,,,,
"ديبلكس اكبير للبيع 15,000,000 MRU Residential Property 6 hours ago • Tevragh Zeina Agence LEWEDLI 1",15000000,Residential Property,6 hours ago,ديبلكس اكبير للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/ديبلكس-اكبير-للبيع--33f8,930.00,,سكتير 5,Yes,Duplex,0.0,0.0,0.0,0.0
"دار فعرفات الداية 11 1,300,000 MRU Residential Property 8 hours ago • Arafat محمد عبد الله ولد سيكه 1",1300000,Residential Property,8 hours ago,دار فعرفات الداية 11,Arafat,voursa,https://voursa.com/EN/categories/real_estate/ads/دار-فعرفات-الداية-11-8af4,180.00,20.00,بقالة الحوضين,Yes,Apartment,1.0,1.0,2.0,3.0
"ديبلكس للبيع 3,300,000 MRU Residential Property 8 hours ago • Teyarett Agence LEWEDLI 1",3300000,Residential Property,8 hours ago,ديبلكس للبيع,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيع--f32e,180.00,8.00,سوكوجيم عين الطلح,Yes,Duplex,0.0,0.0,0.0,0.0
"نيمرو للبيــع في سكتير 5 F Nord 6,700,000 MRU Land Plot 9 hours ago • Tevragh Zeina سيدي محمد 1",6700000,Land Plot,9 hours ago,نيمرو للبيــع في سكتير 5 F Nord,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-للبيــع-في-سكتير-5-f-nord--d8b0,875.00,,سكتير 5,Yes,,,,,
"150م² فكرن فشرم الشيخ البوادي نظيفة 1,800,000 MRU Land Plot 9 hours ago • Teyarett محمدفال 1",1800000,Land Plot,9 hours ago,150م² فكرن فشرم الشيخ البوادي نظيفة,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/150م-فكرن-فشرم-الشيخ-البوادي-نظيفة-beea,150.00,,البوادي,No,,,,,
"ديبلكس للبيع 8,500,000 MRU Residential Property 9 hours ago • Teyarett Agence LEWEDLI 1",8500000,Residential Property,9 hours ago,ديبلكس للبيع,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيع--0acc,400.00,,الصحراوي,Yes,Duplex,0.0,0.0,0.0,0.0
"دار ف كرفور بالقرب من كدروه طب اطاليا للبيع 750,000 MRU Residential Property 9 hours ago • Tevragh Zeina محمد 1",750000,Residential Property,9 hours ago,دار ف كرفور بالقرب من كدروه طب اطاليا للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/دار-ف-كرفور-بالقرب-من-كدروه-طب-اطاليا-للبيع--4515,150.00,8.00,كرفور,Yes,Villa,1.0,1.0,2.0,3.0
"ديبلكس للبيــع في الفوز 5,200,000 MRU Land Plot 9 hours ago • Teyarett سيدي محمد 1",5200000,Land Plot,9 hours ago,ديبلكس للبيــع في الفوز,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيــع-في-الفوز--c66a,200.00,,الفوز البوادي,Yes,,,,,
